60    [[0, 1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
5400    [[1, 4, 20, 10, 13, 14], [0], [2], [3], [5], [6], [7], [8], [9], [11], [12], [15], [16], [17], [18], [19], [21], [22], [23], [24]]
5460    [[1, 4, 14, 20], [17, 10, 13], [0], [2], [3], [5], [6], [7], [8], [9], [11], [12], [15], [16], [18], [19], [21], [22], [23], [24]]
5520    [[1, 4, 14, 20], [10, 13], [0], [2], [3], [5], [6], [7], [8], [9], [11], [12], [15], [16], [17], [18], [19], [21], [22], [23], [24]]
5580    [[1, 4, 14, 20], [10, 13], [0], [2], [3], [5], [6], [7], [8], [9], [11], [12], [15], [16], [17], [18], [19], [21], [22], [23], [24]]
5640    [[1, 4, 17, 20, 7, 14], [10, 13], [0], [2], [3], [5], [6], [8], [9], [11], [12], [15], [16], [18], [19], [21], [22], [23], [24]]
5700    [[1, 4, 14, 17], [12, 6], [0], [2], [3], [5], [7], [8], [9], [10], [11], [13], [15], [16], [18], [19], [20], [21], [22], [23], [24]]
5760    [[1, 4, 14], [0], [2], [3], [5], [6], [7], [8], [9], [10], [11], [12], [13], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
5820    [[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
5880    [[4, 6], [0], [1], [2], [3], [5], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
5940    [[4, 6], [0], [1], [2], [3], [5], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
6000    [[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
6060    [[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
6120    [[14, 7], [0], [1], [2], [3], [4], [5], [6], [8], [9], [10], [11], [12], [13], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
6180    [[20, 13], [0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [14], [15], [16], [17], [18], [19], [21], [22], [23], [24]]
6240    [[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
6300    [[4, 14], [10, 7], [0], [1], [2], [3], [5], [6], [8], [9], [11], [12], [13], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
6360    [[8, 5], [20, 23], [24, 21], [0], [1], [2], [3], [4], [6], [7], [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [22]]
6420    [[4, 14], [20, 23], [0], [1], [2], [3], [5], [6], [7], [8], [9], [10], [11], [12], [13], [15], [16], [17], [18], [19], [21], [22], [24]]
6480    [[4, 14], [0], [1], [2], [3], [5], [6], [7], [8], [9], [10], [11], [12], [13], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
6540    [[4, 13, 14], [0], [1], [2], [3], [5], [6], [7], [8], [9], [10], [11], [12], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
6600    [[4, 14], [0], [1], [2], [3], [5], [6], [7], [8], [9], [10], [11], [12], [13], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
6660    [[4, 14], [0], [1], [2], [3], [5], [6], [7], [8], [9], [10], [11], [12], [13], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
6720    [[4, 14], [0], [1], [2], [3], [5], [6], [7], [8], [9], [10], [11], [12], [13], [15], [16], [17], [18], [19], [20], [21], [22], [23], [24]]
